Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,DATE
Public Class,org.jfree.chart.axis.PeriodAxis,45,46,86,12/02/2005
Public Class,org.jfree.chart.axis.PeriodAxisLabelInfo,18,16,83,12/02/2005
Public Class,org.jfree.chart.axis.QuarterDateFormat,11,6,83,12/02/2005
Public Class,org.jfree.chart.axis.SegmentedTimeline,15,44,94,12/02/2005
Public Class,org.jfree.chart.axis.SegmentedTimeline.Segment,3,29,68,12/02/2005
Public Class,org.jfree.chart.axis.StandardTickUnitSource,4,3,33,12/02/2005
Public Class,org.jfree.chart.axis.SubCategoryAxis,28,13,69,12/02/2005
Public Class,org.jfree.chart.axis.SymbolAxis,35,19,80,12/02/2005
Public Class,org.jfree.chart.axis.TickUnits,9,9,55,12/02/2005
Public Class,org.jfree.chart.axis.junit.AxisLocationTests,13,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.AxisPackageTests,32,3,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.AxisSpaceTests,6,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.AxisTests,11,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryAnchorTests,13,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryAxis3DTests,15,4,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryAxisTests,18,7,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryLabelPositionTests,15,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryLabelPositionsTests,14,5,70,12/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryLabelWidthTypeTests,13,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryTickTests,16,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.ColorBarTests,16,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.CyclicNumberAxisTests,19,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.DateAxisTests,25,11,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.DateTickMarkPositionTests,13,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.DateTickTests,17,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.DateTickUnitTests,13,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.LogarithmicAxisTests,13,3,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.MarkerAxisBandTests,14,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.MonthDateFormatTests,15,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.NumberAxis3DTests,13,3,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.NumberAxisTests,27,12,50,12/02/2005
Public Class,org.jfree.chart.axis.junit.NumberTickUnitTests,13,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.PeriodAxisLabelInfoTests,23,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.PeriodAxisTests,28,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.QuarterDateFormatTests,13,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.SegmentedTimelineTests,29,46,91,12/02/2005
Public Class,org.jfree.chart.axis.junit.SegmentedTimelineTests2,4,11,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.SubCategoryAxisTests,18,6,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.SymbolAxisTests,16,5,0,12/02/2005
Public Class,org.jfree.chart.axis.junit.ValueAxisTests,18,5,80,12/02/2005
Public Class,org.jfree.chart.block.AbstractBlock,14,36,82,12/02/2005
Public Class,org.jfree.chart.block.BlockBorder,11,11,77,12/02/2005
Public Class,org.jfree.chart.block.BlockContainer,18,14,66,12/02/2005
Public Class,org.jfree.chart.block.BlockParams,0,7,57,12/02/2005
Public Class,org.jfree.chart.block.BlockResult,1,3,0,12/02/2005
Public Class,org.jfree.chart.block.BorderArrangement,11,10,41,12/02/2005
Public Class,org.jfree.chart.block.CenterArrangement,11,13,100,12/02/2005
Public Class,org.jfree.chart.block.ColorBlock,3,3,33,12/02/2005
Public Class,org.jfree.chart.block.ColumnArrangement,13,11,78,12/02/2005
Public Class,org.jfree.chart.block.EmptyBlock,3,4,100,12/02/2005
Public Class,org.jfree.chart.block.FlowArrangement,12,14,82,12/02/2005
Public Class,org.jfree.chart.block.GridArrangement,12,9,62,12/02/2005
Public Class,org.jfree.chart.block.LabelBlock,17,16,69,12/02/2005
Public Class,org.jfree.chart.block.LengthConstraintType,2,5,72,12/02/2005
Public Class,org.jfree.chart.block.RectangleConstraint,4,19,65,12/02/2005
Public Class,org.jfree.chart.block.junit.BlockBorderTests,14,5,0,12/02/2005
Public Class,org.jfree.chart.block.junit.BlockContainerTests,17,5,0,12/02/2005
Public Class,org.jfree.chart.block.junit.BlockPackageTests,11,3,0,12/02/2005
Public Class,org.jfree.chart.block.junit.BorderArrangementTests,22,7,71,12/02/2005
Public Class,org.jfree.chart.block.junit.ColumnArrangementTests,15,5,0,12/02/2005
Public Class,org.jfree.chart.block.junit.EmptyBlockTests,13,5,0,12/02/2005
Public Class,org.jfree.chart.block.junit.FlowArrangementTests,14,5,0,12/02/2005
Public Class,org.jfree.chart.block.junit.GridArrangementTests,17,8,75,12/02/2005
Public Class,org.jfree.chart.block.junit.LabelBlockTests,14,5,0,12/02/2005
Public Class,org.jfree.chart.block.junit.RectangleConstraintTests,5,3,66,12/02/2005
Public Class,org.jfree.chart.demo.BarChartDemo1,20,4,0,12/02/2005
Public Class,org.jfree.chart.demo.PieChartDemo1,11,5,0,12/02/2005
Public Class,org.jfree.chart.demo.TimeSeriesChartDemo1,19,5,0,12/02/2005
Public Class,org.jfree.chart.editor.ChartEditorManager,5,4,25,12/02/2005
Public Class,org.jfree.chart.editor.DefaultChartEditorFactory,3,2,0,12/02/2005
Public Class,org.jfree.chart.editor.PaletteSample,10,6,50,12/02/2005
Public Class,org.jfree.chart.encoders.EncoderUtil,6,8,0,12/02/2005
Public Class,org.jfree.chart.encoders.ImageEncoderFactory,8,6,50,12/02/2005
Public Class,org.jfree.chart.encoders.KeypointPNGEncoderAdapter,4,6,33,12/02/2005
Public Class,org.jfree.chart.encoders.SunJPEGEncoderAdapter,7,7,71,12/02/2005
Public Class,org.jfree.chart.encoders.SunPNGEncoderAdapter,7,6,0,12/02/2005
