Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,DATE
Public Class,org.jfree.chart.axis.junit.QuarterDateFormatTests,13,6,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.SegmentedTimelineTests,29,46,91,06/02/2005
Public Class,org.jfree.chart.axis.junit.SegmentedTimelineTests2,4,11,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.SubCategoryAxisTests,18,6,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.SymbolicAxisTests,13,3,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.ValueAxisTests,18,5,80,06/02/2005
Public Class,org.jfree.chart.block.AbstractBlock,14,36,82,06/02/2005
Public Class,org.jfree.chart.block.BlockBorder,11,11,77,06/02/2005
Public Class,org.jfree.chart.block.BlockContainer,18,14,66,06/02/2005
Public Class,org.jfree.chart.block.BlockParams,0,7,57,06/02/2005
Public Class,org.jfree.chart.block.BlockResult,1,3,0,06/02/2005
Public Class,org.jfree.chart.block.BorderArrangement,11,10,41,06/02/2005
Public Class,org.jfree.chart.block.CenterArrangement,11,13,100,06/02/2005
Public Class,org.jfree.chart.block.ColorBlock,3,3,33,06/02/2005
Public Class,org.jfree.chart.block.ColumnArrangement,13,11,78,06/02/2005
Public Class,org.jfree.chart.block.EmptyBlock,3,4,100,06/02/2005
Public Class,org.jfree.chart.block.FlowArrangement,12,14,82,06/02/2005
Public Class,org.jfree.chart.block.GridArrangement,12,9,62,06/02/2005
Public Class,org.jfree.chart.block.LabelBlock,14,11,65,06/02/2005
Public Class,org.jfree.chart.block.LengthConstraintType,2,5,72,06/02/2005
Public Class,org.jfree.chart.block.RectangleConstraint,4,19,65,06/02/2005
Public Class,org.jfree.chart.block.junit.BlockBorderTests,14,5,0,06/02/2005
Public Class,org.jfree.chart.block.junit.BlockContainerTests,17,5,0,06/02/2005
Public Class,org.jfree.chart.block.junit.BlockPackageTests,10,3,0,06/02/2005
Public Class,org.jfree.chart.block.junit.BorderArrangementTests,22,7,71,06/02/2005
Public Class,org.jfree.chart.block.junit.ColumnArrangementTests,15,5,0,06/02/2005
Public Class,org.jfree.chart.block.junit.EmptyBlockTests,13,5,0,06/02/2005
Public Class,org.jfree.chart.block.junit.FlowArrangementTests,14,5,0,06/02/2005
Public Class,org.jfree.chart.block.junit.GridArrangementTests,17,8,75,06/02/2005
Public Class,org.jfree.chart.block.junit.RectangleConstraintTests,5,3,66,06/02/2005
Public Class,org.jfree.chart.demo.BarChartDemo1,20,4,0,06/02/2005
Public Class,org.jfree.chart.demo.PieChartDemo1,11,5,0,06/02/2005
