FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
io.realm.internal.test.EmployeesFixture.csv,50.0,NaN,17.0,NaN,2.0,NaN,1.0,NaN,
io.realm.internal.test.ExtraTests.ArrayComparisonFailure.csv,0.0,NaN,101.0,101.40211764298346,4.0,4.201058821491731,3.0,3.201058821491731,
io.realm.internal.test.ExtraTests.ComparisonCriteria.csv,62.0,NaN,31.0,NaN,6.0,NaN,4.0,NaN,
io.realm.internal.test.ExtraTests.csv,0.0,NaN,46.0,NaN,13.0,NaN,4.0,NaN,
io.realm.internal.test.ExtraTests.ExactComparisonCriteria.csv,0.0,NaN,5.0,NaN,1.0,NaN,5.0,NaN,
io.realm.internal.test.MixedData.csv,0.0,NaN,12.0,NaN,2.0,NaN,2.0,NaN,
io.realm.internal.test.PhoneData.csv,0.0,NaN,8.0,NaN,1.0,NaN,1.0,NaN,
io.realm.internal.test.TestHelper.csv,0.0,NaN,32.0,40.59513375716073,9.0,9.61393812551147,2.0,2.6139381255114706,
io.realm.internal.test.TestTableModel.AllTypes.csv,0.0,NaN,12.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.TestTableModel.Car.csv,0.0,NaN,50.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.TestTableModel.csv,0.0,NaN,5.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.TestTableModel.TestEmployee.csv,0.0,NaN,10.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.TestTableModel.TestNumbers.csv,0.0,NaN,5.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.TestTableModel.TestPhone.csv,0.0,NaN,4.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.TestTableModel.TestQueryTable.csv,0.0,NaN,6.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.TestValue.csv,0.0,NaN,6.0,NaN,1.0,NaN,1.0,NaN,
io.realm.internal.test.VariationsIterator.csv,55.0,NaN,42.0,NaN,10.0,NaN,5.0,NaN,
io.realm.internal.test.VariationsIterator.T.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.TightDB.csv,93.0,NaN,125.0,NaN,25.0,NaN,12.0,NaN,
io.realm.internal.TightDB.gcOnExit.(Anon_1).csv,0.0,NaN,5.0,NaN,1.0,NaN,1.0,NaN,
io.realm.internal.Util.csv,0.0,NaN,50.0,49.627389757922046,5.0,NaN,7.0,NaN,
io.realm.internal.Util.Testcase.csv,96.0,95.5831535105983,27.0,26.58315351059829,5.0,NaN,5.0,NaN,
io.realm.internal.Version.csv,87.0,NaN,51.0,NaN,8.0,NaN,8.0,NaN,
io.realm.internal.Version.Feature.csv,88.0,NaN,10.0,NaN,3.0,NaN,3.0,NaN,
io.realm.internal.WriteTransaction.csv,40.0,NaN,28.0,NaN,7.0,NaN,46.0,45.186023662361556,
io.realm.processor.RealmProcessor.csv,85.0,73.66797864132886,215.0,181.17315810608713,55.0,44.4696781540642,7.0,5.151099123934973,
io.realm.processor.RealmProxyClassGenerator.csv,73.0,69.51844571735697,574.0,615.5915092585968,56.0,54.491243677949726,16.0,17.47189408365411,
io.realm.processor.RealmValidationListGenerator.csv,60.0,54.47708247740096,50.0,49.30963530967512,6.0,NaN,3.0,NaN,
io.realm.processor.RealmVersionChecker.csv,66.0,68.02896007379796,47.0,48.03094422418651,8.0,8.424338134858244,5.0,5.162444535764495,
io.realm.processor.RealmVersionChecker.executeRealmVersionUpdate.(Anon_1).csv,0.0,NaN,5.0,NaN,1.0,NaN,1.0,NaN,
io.realm.Realm.allObjects.E.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.Realm.createObject.E.csv,95.0,95.43641851010457,748.0,956.7831595833821,164.0,212.41265235022243,67.0,79.5862860196899,
io.realm.Realm.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.Realm.get.E.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.Realm.remove.E.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.Realm.where.E.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.RealmChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
io.realm.RealmList.csv,64.0,62.50576466695874,153.0,160.96573817853715,36.0,39.85755235916662,16.0,17.058458808968776,
io.realm.RealmList.E.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.RealmMigration.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
io.realm.RealmObject.csv,62.0,67.18658654345442,22.0,19.711160534995603,6.0,5.237053511665203,4.0,4.085066619117198,
io.realm.RealmObjectTest.csv,79.0,87.51154874038187,381.0,447.45485707979054,53.0,63.102410432945874,29.0,33.86952741992357,
io.realm.RealmQuery.csv,81.0,79.34088077430572,520.0,458.18891604282834,119.0,103.33528484690213,83.0,78.21710793941249,
io.realm.RealmQuery.E.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.RealmResults.csv,83.0,83.34489439097355,302.0,325.58891322464905,62.0,61.65962770628963,31.0,31.985161326038927,
io.realm.RealmResults.E.csv,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,
io.realm.RealmResultsTest.csv,83.0,76.479415837908,554.0,533.4540401311194,40.0,40.438973417187185,34.0,35.02640941588933,
io.realm.RealmTest.csv,82.0,88.7369992836848,741.0,1137.9300339997894,76.0,87.22424759061992,37.0,44.15825032893876,
