FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.chart.plot.CompassPlot.csv,90.0,90.0,408.0,407.0,89.0,89.0,109.0,109.0,
org.jfree.chart.plot.ContourPlot.csv,96.0,96.0,850.0,848.0,174.0,174.0,154.0,154.0,
org.jfree.chart.plot.ContourPlotUtilities.csv,0.0,NaN,7.0,7.0,1.0,1.0,13.0,13.0,
org.jfree.chart.plot.ContourValuePlot.csv,0.0,NaN,3.0,3.0,1.0,1.0,1.0,1.0,
org.jfree.chart.plot.DatasetRenderingOrder.csv,70.0,70.0,39.0,40.0,10.0,10.0,17.0,17.0,
org.jfree.chart.plot.DefaultDrawingSupplier.csv,84.0,84.0,250.0,249.0,44.0,44.0,29.0,29.0,
org.jfree.chart.plot.DrawingSupplier.csv,0.0,NaN,8.0,8.0,6.0,6.0,6.0,6.0,
org.jfree.chart.plot.FastScatterPlot.csv,88.0,88.0,417.0,415.0,94.0,94.0,118.0,118.0,
org.jfree.chart.plot.JThermometer.csv,77.0,77.0,131.0,131.0,35.0,35.0,724.0,724.0,
org.jfree.chart.plot.junit.CompassPlotTests.csv,0.0,NaN,80.0,80.0,7.0,7.0,17.0,17.0,
org.jfree.chart.plot.junit.ContourPlotTests.csv,0.0,NaN,27.0,27.0,4.0,NaN,15.0,NaN,
org.jfree.chart.plot.junit.FastScatterPlotTests.csv,0.0,NaN,114.0,117.0,11.0,11.0,19.0,19.0,
org.jfree.chart.plot.junit.MeterPlotTests.csv,0.0,NaN,163.0,166.0,9.0,9.0,18.0,18.0,
org.jfree.chart.plot.junit.PiePlotTests.csv,0.0,NaN,425.0,444.0,22.0,23.0,25.0,26.0,
org.jfree.chart.plot.junit.PlotPackageTests.csv,0.0,NaN,40.0,40.0,3.0,3.0,15.0,15.0,
org.jfree.chart.plot.junit.ThermometerPlotTests.csv,0.0,NaN,146.0,147.0,10.0,10.0,19.0,19.0,
org.jfree.chart.plot.junit.XYPlotTests.csv,0.0,NaN,779.0,681.0,49.0,44.0,41.0,40.0,
org.jfree.chart.plot.MeterPlot.csv,92.0,92.0,616.0,615.0,124.0,124.0,130.0,130.0,
org.jfree.chart.plot.PiePlot.csv,96.0,96.0,1526.0,1491.0,307.0,307.0,215.0,217.0,
org.jfree.chart.plot.Plot.csv,94.0,94.0,571.0,575.0,150.0,150.0,75.0,75.0,
org.jfree.chart.plot.PlotOrientation.csv,70.0,70.0,40.0,40.0,10.0,10.0,17.0,17.0,
org.jfree.chart.plot.ThermometerPlot.csv,96.0,96.0,750.0,761.0,165.0,166.0,152.0,150.0,
org.jfree.chart.plot.ValueAxisPlot.csv,0.0,NaN,3.0,3.0,1.0,1.0,1.0,1.0,
org.jfree.chart.plot.XYPlot.csv,97.0,97.0,2633.0,2481.0,620.0,591.0,291.0,280.0,
org.jfree.chart.renderer.AbstractRenderer.csv,97.0,97.0,1454.0,1401.0,384.0,368.0,199.0,191.0,
org.jfree.chart.renderer.junit.RendererPackageTests.csv,0.0,NaN,16.0,17.0,2.0,NaN,14.0,NaN,
org.jfree.chart.renderer.NotOutlierException.csv,0.0,NaN,5.0,NaN,1.0,NaN,44.0,NaN,
org.jfree.chart.renderer.Outlier.csv,59.0,59.0,65.0,64.0,17.0,17.0,23.0,23.0,
