Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
Public Constructor,org.jfree.data.time.DynamicTimeSeriesCollection.DynamicTimeSeriesCollection,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,5,3,1,7,3,1,1,2,1,1,1,1,1,1,,,,,,0,,1.4,,,,,2007-04
Public Constructor,org.jfree.data.time.DynamicTimeSeriesCollection.DynamicTimeSeriesCollection,,,,,,,,,,,,,,,,,,,,,,,,,9,40,2,26,4,17,13,13,8,15,20,2,18,5,5,5,1,,,,,,1,,0.5,,,,,2007-04
Protected Class,org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,1,1,1,1,9,0,3,5,1,1,0,,0,0,,,4,1,4,16,0,0,0,4,,48,5,18,6,6,25,,,8,14,7,7,,,,,2,2,2,1,1,1,25,1.39,5,5,5,4,2007-04
Public Constructor,org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence.ValueSequence,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,,,,,2007-04
Public Constructor,org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence.ValueSequence,,,,,,,,,,,,,,,,,,,,,,,,,6,11,0,6,1,3,5,2,2,4,6,2,4,2,2,2,1,,,,,,1,,0.83,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence.enterData,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,3,1,1,6,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence.getData,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,3,1,1,7,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.addSeries,,,,,,,,,,,,,,,,,,,,,,,,,5,56,3,37,6,25,17,8,192,19,28,5,23,9,9,9,1,,,,,,2,,0.46,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.addValue,,,,,,,,,,,,,,,,,,,,,,,,,5,28,1,16,1,12,11,7,4,6,9,1,8,3,3,3,1,,,,,,1,,0.69,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.advanceTime,,,,,,,,,,,,,,,,,,,,,,,,,9,53,0,36,7,27,20,17,80,24,32,9,23,8,8,8,3,,,,,,2,,0.56,,,,,2007-04
