Kind,Name,CountClassCoupled,PercentLackOfCohesion,CountDeclMethod,Date
File,DataPackageResources_fr.java,,,1,2008-06-09
File,DataPackageResources_pl.java,,,1,2008-06-09
File,DataPackageResources_ru.java,,,1,2008-06-09
File,DataPackageTests.java,,,3,2008-06-09
File,DataStatisticsPackageTests.java,,,3,2008-06-09
File,DataTimePackageTests.java,,,3,2008-06-09
File,DataUtilities.java,,,5,2008-06-09
File,DataUtilitiesTests.java,,,3,2008-06-09
File,DataXYPackageTests.java,,,3,2008-06-09
File,Dataset.java,,,4,2008-06-09
File,DatasetChangeEvent.java,,,2,2008-06-09
File,DatasetChangeListener.java,,,1,2008-06-09
File,DatasetGroup.java,,,5,2008-06-09
File,DatasetGroupTests.java,,,3,2008-06-09
File,DatasetReader.java,,,4,2008-06-09
File,DatasetRenderingOrder.java,,,5,2008-06-09
File,DatasetTags.java,,,0,2008-06-09
File,DatasetUtilities.java,,,45,2008-06-09
File,DatasetUtilitiesTests.java,,,40,2008-06-09
File,DateAxis.java,,,56,2008-06-09
File,DateAxisTests.java,,,26,2008-06-09
File,DateRange.java,,,7,2008-06-09
File,DateRangeTests.java,,,6,2008-06-09
File,DateTick.java,,,4,2008-06-09
File,DateTickMarkPosition.java,,,4,2008-06-09
File,DateTickMarkPositionTests.java,,,5,2008-06-09
File,DateTickTests.java,,,6,2008-06-09
File,DateTickUnit.java,,,19,2008-06-09
File,DateTickUnitTests.java,,,5,2008-06-09
File,DateTitle.java,,,5,2008-06-09
File,DateTitleTests.java,,,6,2008-06-09
File,Day.java,,,22,2008-06-09
File,DayTests.java,,,25,2008-06-09
File,DefaultAxisEditor.java,,,17,2008-06-09
File,DefaultBoxAndWhiskerCategoryDataset.java,,,44,2008-06-09
File,DefaultBoxAndWhiskerCategoryDatasetTests.java,,,11,2008-06-09
File,DefaultBoxAndWhiskerXYDataset.java,,,27,2008-06-09
File,DefaultBoxAndWhiskerXYDatasetTests.java,,,8,2008-06-09
File,DefaultCategoryDataset.java,,,25,2008-06-09
File,DefaultCategoryDatasetTests.java,,,16,2008-06-09
File,DefaultCategoryItemRenderer.java,,,0,2008-06-09
File,DefaultCategoryItemRendererTests.java,,,7,2008-06-09
File,DefaultChartEditor.java,,,8,2008-06-09
File,DefaultChartEditorFactory.java,,,2,2008-06-09
File,DefaultColorBarEditor.java,,,5,2008-06-09
File,DefaultContourDataset.java,,,26,2008-06-09
File,DefaultDrawingSupplier.java,,,17,2008-06-09
File,DefaultDrawingSupplierTests.java,,,5,2008-06-09
File,DefaultHighLowDataset.java,,,19,2008-06-09
File,DefaultHighLowDatasetTests.java,,,6,2008-06-09
File,DefaultIntervalCategoryDataset.java,,,35,2008-06-09
File,DefaultIntervalCategoryDatasetTests.java,,,22,2008-06-09
File,DefaultIntervalXYDataset.java,,,20,2008-06-09
File,DefaultIntervalXYDatasetTests.java,,,19,2008-06-09
File,DefaultKeyedValue.java,,,8,2008-06-09
File,DefaultKeyedValueDataset.java,,,10,2008-06-09
File,DefaultKeyedValueDatasetTests.java,,,6,2008-06-09
File,DefaultKeyedValueTests.java,,,6,2008-06-09
File,DefaultKeyedValues.java,,,22,2008-06-09
File,DefaultKeyedValues2D.java,,,23,2008-06-09
File,DefaultKeyedValues2DDataset.java,,,0,2008-06-09
File,DefaultKeyedValues2DDatasetTests.java,,,4,2008-06-09
File,DefaultKeyedValues2DTests.java,,,16,2008-06-09
File,DefaultKeyedValuesDataset.java,,,0,2008-06-09
File,DefaultKeyedValuesDatasetTests.java,,,4,2008-06-09
File,DefaultKeyedValuesTests.java,,,21,2008-06-09
File,DefaultMultiValueCategoryDataset.java,,,19,2008-06-09
File,DefaultMultiValueCategoryDatasetTests.java,,,10,2008-06-09
File,DefaultNumberAxisEditor.java,,,13,2008-06-09
File,DefaultOHLCDataset.java,,,20,2008-06-09
File,DefaultOHLCDatasetTests.java,,,8,2008-06-09
File,DefaultPieDataset.java,,,19,2008-06-09
File,DefaultPieDatasetTests.java,,,8,2008-06-09
File,DefaultPlotEditor.java,,,15,2008-06-09
File,DefaultPolarItemRenderer.java,,,12,2008-06-09
File,DefaultPolarItemRendererTests.java,,,6,2008-06-09
File,DefaultStatisticalCategoryDataset.java,,,29,2008-06-09
File,DefaultStatisticalCategoryDatasetTests.java,,,12,2008-06-09
File,DefaultTableXYDataset.java,,,36,2008-06-09
File,DefaultTableXYDatasetTests.java,,,8,2008-06-09
File,DefaultTitleEditor.java,,,10,2008-06-09
File,DefaultValueDataset.java,,,7,2008-06-09
File,DefaultWindDataset.java,,,19,2008-06-09
File,DefaultWindDatasetTests.java,,,10,2008-06-09
File,DefaultXYDataset.java,,,15,2008-06-09
File,DefaultXYDatasetTests.java,,,10,2008-06-09
File,DefaultXYItemRenderer.java,,,0,2008-06-09
File,DefaultXYZDataset.java,,,17,2008-06-09
File,DefaultXYZDatasetTests.java,,,10,2008-06-09
File,DeviationRenderer.java,,,13,2008-06-09
File,DeviationRendererTests.java,,,7,2008-06-09
File,DialBackground.java,,,13,2008-06-09
File,DialBackgroundTests.java,,,6,2008-06-09
File,DialCap.java,,,16,2008-06-09
File,DialCapTests.java,,,6,2008-06-09
File,DialFrame.java,,,1,2008-06-09
File,DialLayer.java,,,6,2008-06-09
File,DialLayerChangeEvent.java,,,2,2008-06-09
File,DialLayerChangeListener.java,,,1,2008-06-09
File,DialPackageTests.java,,,3,2008-06-09
File,DialPlot.java,,,41,2008-06-09
File,DialPlotTests.java,,,12,2008-06-09
File,DialPointer.java,,,34,2008-06-09
File,DialPointerTests.java,,,9,2008-06-09
File,DialScale.java,,,2,2008-06-09
File,DialShape.java,,,5,2008-06-09
File,DialTextAnnotation.java,,,20,2008-06-09
File,DialTextAnnotationTests.java,,,6,2008-06-09
File,DialValueIndicator.java,,,37,2008-06-09
File,DialValueIndicatorTests.java,,,6,2008-06-09
File,DisplayChart.java,,,3,2008-06-09
File,DomainInfo.java,,,3,2008-06-09
File,DomainOrder.java,,,5,2008-06-09
File,DomainOrderTests.java,,,5,2008-06-09
File,DrawableLegendItem.java,,,17,2008-06-09
File,DrawingSupplier.java,,,6,2008-06-09
File,DynamicDriveToolTipTagFragmentGenerator.java,,,3,2008-06-09
File,DynamicTimeSeriesCollection.java,,,46,2008-06-09
File,Effect3D.java,,,2,2008-06-09
File,EmptyBlock.java,,,5,2008-06-09
File,EmptyBlockTests.java,,,5,2008-06-09
File,EncoderUtil.java,,,8,2008-06-09
File,EntityBlockParams.java,,,1,2008-06-09
File,EntityBlockResult.java,,,1,2008-06-09
File,EntityCollection.java,,,8,2008-06-09
File,EntityPackageTests.java,,,3,2008-06-09
File,ExtendedCategoryAxis.java,,,11,2008-06-09
File,ExtendedCategoryAxisTests.java,,,7,2008-06-09
File,FastScatterPlot.java,,,43,2008-06-09
File,FastScatterPlotTests.java,,,7,2008-06-09
File,FixedMillisecond.java,,,17,2008-06-09
File,FixedMillisecondTests.java,,,6,2008-06-09
File,FlowArrangement.java,,,14,2008-06-09
File,FlowArrangementTests.java,,,5,2008-06-09
File,Function2D.java,,,1,2008-06-09
File,GanttCategoryDataset.java,,,10,2008-06-09
File,GanttChartTests.java,,,12,2008-06-09
File,GanttRenderer.java,,,15,2008-06-09
File,GanttRendererTests.java,,,7,2008-06-09
File,GrayPaintScale.java,,,7,2008-06-09
File,GrayPaintScaleTests.java,,,7,2008-06-09
File,GreyPalette.java,,,2,2008-06-09
File,GridArrangement.java,,,9,2008-06-09
File,GridArrangementTests.java,,,8,2008-06-09
File,GroupedStackedBarRenderer.java,,,7,2008-06-09
File,GroupedStackedBarRendererTests.java,,,7,2008-06-09
File,HashUtilities.java,,,13,2008-06-09
File,HashUtilitiesTests.java,,,3,2008-06-09
File,HexNumberFormat.java,,,7,2008-06-09
File,HighLowItemLabelGenerator.java,,,7,2008-06-09
File,HighLowItemLabelGeneratorTests.java,,,7,2008-06-09
File,HighLowRenderer.java,,,17,2008-06-09
File,HighLowRendererTests.java,,,8,2008-06-09
File,HistogramBin.java,,,8,2008-06-09
File,HistogramBinTests.java,,,5,2008-06-09
File,HistogramDataset.java,,,21,2008-06-09
File,HistogramDatasetTests.java,,,11,2008-06-09
File,HistogramType.java,,,5,2008-06-09
File,Hour.java,,,22,2008-06-09
File,HourTests.java,,,25,2008-06-09
File,ImageEncoder.java,,,6,2008-06-09
File,ImageEncoderFactory.java,,,6,2008-06-09
File,ImageFormat.java,,,0,2008-06-09
File,ImageMapPackageTests.java,,,3,2008-06-09
File,ImageMapUtilities.java,,,6,2008-06-09
File,ImageTitle.java,,,11,2008-06-09
File,ImageTitleTests.java,,,8,2008-06-09
File,IntervalBarRenderer.java,,,3,2008-06-09
File,IntervalBarRendererTests.java,,,8,2008-06-09
File,IntervalCategoryDataset.java,,,4,2008-06-09
File,IntervalCategoryItemLabelGenerator.java,,,4,2008-06-09
File,IntervalCategoryLabelGeneratorTests.java,,,7,2008-06-09
File,IntervalCategoryToolTipGenerator.java,,,4,2008-06-09
File,IntervalMarker.java,,,11,2008-06-09
File,IntervalMarkerTests.java,,,8,2008-06-09
File,IntervalXYDataset.java,,,8,2008-06-09
File,IntervalXYDelegate.java,,,21,2008-06-09
File,IntervalXYDelegateTests.java,,,5,2008-06-09
File,IntervalXYItemLabelGenerator.java,,,9,2008-06-09
File,IntervalXYZDataset.java,,,6,2008-06-09
File,ItemHandler.java,,,7,2008-06-09
File,ItemLabelAnchor.java,,,4,2008-06-09
File,ItemLabelAnchorTests.java,,,4,2008-06-09
File,ItemLabelPosition.java,,,8,2008-06-09
File,ItemLabelPositionTests.java,,,4,2008-06-09
File,JDBCCategoryDataset.java,,,7,2008-06-09
File,JDBCPieDataset.java,,,6,2008-06-09
File,JDBCXYDataset.java,,,20,2008-06-09
File,JFreeChart.java,,,72,2008-06-09
File,JFreeChartResources.java,,,1,2008-06-09
File,JFreeChartTestSuite.java,,,2,2008-06-09
File,JFreeChartTests.java,,,16,2008-06-09
File,JThermometer.java,,,26,2008-06-09
File,KeyHandler.java,,,6,2008-06-09
File,KeyToGroupMap.java,,,12,2008-06-09
File,KeyToGroupMapTests.java,,,10,2008-06-09
File,KeyedObject.java,,,6,2008-06-09
File,KeyedObjectTests.java,,,6,2008-06-09
File,KeyedObjects.java,,,16,2008-06-09
File,KeyedObjects2D.java,,,22,2008-06-09
File,KeyedObjects2DTests.java,,,13,2008-06-09
File,KeyedObjectsTests.java,,,13,2008-06-09
File,KeyedValue.java,,,1,2008-06-09
File,KeyedValueComparator.java,,,4,2008-06-09
File,KeyedValueComparatorType.java,,,4,2008-06-09
File,KeyedValueDataset.java,,,0,2008-06-09
File,KeyedValues.java,,,4,2008-06-09
File,KeyedValues2D.java,,,7,2008-06-09
File,KeyedValues2DDataset.java,,,0,2008-06-09
File,KeyedValuesDataset.java,,,0,2008-06-09
File,KeypointPNGEncoderAdapter.java,,,6,2008-06-09
File,LabelBlock.java,,,18,2008-06-09
File,LabelBlockTests.java,,,5,2008-06-09
File,LabelsPackageTests.java,,,3,2008-06-09
File,LayeredBarRenderer.java,,,7,2008-06-09
File,LayeredBarRendererTests.java,,,8,2008-06-09
File,LegendGraphic.java,,,38,2008-06-09
File,LegendGraphicTests.java,,,7,2008-06-09
File,LegendItem.java,,,40,2008-06-09
File,LegendItemBlockContainer.java,,,11,2008-06-09
File,LegendItemCollection.java,,,8,2008-06-09
File,LegendItemCollectionTests.java,,,5,2008-06-09
File,LegendItemEntity.java,,,10,2008-06-09
File,LegendItemEntityTests.java,,,5,2008-06-09
File,LegendItemSource.java,,,1,2008-06-09
File,LegendItemTests.java,,,6,2008-06-09
File,LegendRenderingOrder.java,,,4,2008-06-09
File,LegendTitle.java,,,30,2008-06-09
File,LegendTitleTests.java,,,6,2008-06-09
File,LengthConstraintType.java,,,5,2008-06-09
File,LevelRenderer.java,,,13,2008-06-09
File,LevelRendererTests.java,,,10,2008-06-09
File,LineAndShapeRenderer.java,,,44,2008-06-09
File,LineAndShapeRendererTests.java,,,9,2008-06-09
File,LineBorder.java,,,9,2008-06-09
File,LineBorderTests.java,,,5,2008-06-09
File,LineChart3DTests.java,,,9,2008-06-09
File,LineChartTests.java,,,9,2008-06-09
File,LineFunction2D.java,,,2,2008-06-09
File,LineNeedle.java,,,4,2008-06-09
File,LineNeedleTests.java,,,5,2008-06-09
File,LineRenderer3D.java,,,16,2008-06-09
File,LineRenderer3DTests.java,,,8,2008-06-09
File,LogAxis.java,,,34,2008-06-09
File,LogAxisTests.java,,,13,2008-06-09
File,LogFormat.java,,,8,2008-06-09
File,LogFormatTests.java,,,6,2008-06-09
File,LogarithmicAxis.java,,,28,2008-06-09
File,LogarithmicAxisTests.java,,,15,2008-06-09
File,LongNeedle.java,,,5,2008-06-09
File,LongNeedleTests.java,,,5,2008-06-09
File,LookupPaintScale.java,,,17,2008-06-09
File,LookupPaintScaleTests.java,,,8,2008-06-09
File,Marker.java,,,35,2008-06-09
File,MarkerAxisBand.java,,,7,2008-06-09
File,MarkerAxisBandTests.java,,,5,2008-06-09
File,MarkerChangeEvent.java,,,2,2008-06-09
File,MarkerChangeListener.java,,,1,2008-06-09
File,MarkerTests.java,,,17,2008-06-09
File,MatrixSeries.java,,,11,2008-06-09
File,MatrixSeriesCollection.java,,,16,2008-06-09
File,MatrixSeriesCollectionTests.java,,,6,2008-06-09
File,MatrixSeriesTests.java,,,8,2008-06-09
File,MeanAndStandardDeviation.java,,,8,2008-06-09
File,MeanAndStandardDeviationTests.java,,,5,2008-06-09
File,MeterChartTests.java,,,3,2008-06-09
File,MeterInterval.java,,,10,2008-06-09
File,MeterIntervalTests.java,,,5,2008-06-09
File,MeterNeedle.java,,,26,2008-06-09
File,MeterNeedleTests.java,,,3,2008-06-09
File,MeterPlot.java,,,55,2008-06-09
File,MeterPlotTests.java,,,6,2008-06-09
File,MiddlePinNeedle.java,,,4,2008-06-09
File,MiddlePinNeedleTests.java,,,5,2008-06-09
File,Millisecond.java,,,18,2008-06-09
File,MillisecondTests.java,,,21,2008-06-09
File,MinMaxCategoryRenderer.java,,,25,2008-06-09
File,MinMaxCategoryRendererTests.java,,,8,2008-06-09
File,Minute.java,,,21,2008-06-09
File,MinuteTests.java,,,21,2008-06-09
File,ModuloAxis.java,,,17,2008-06-09
File,ModuloAxisTests.java,,,6,2008-06-09
File,Month.java,,,23,2008-06-09
File,MonthDateFormat.java,,,11,2008-06-09
File,MonthDateFormatTests.java,,,6,2008-06-09
File,MonthTests.java,,,25,2008-06-09
File,MovingAverage.java,,,6,2008-06-09
File,MovingAverageTests.java,,,4,2008-06-09
File,MultiValueCategoryDataset.java,,,2,2008-06-09
File,MultiplePiePlot.java,,,21,2008-06-09
File,MultiplePiePlotTests.java,,,7,2008-06-09
File,MultipleXYSeriesLabelGenerator.java,,,9,2008-06-09
File,MultipleXYSeriesLabelGeneratorTests.java,,,7,2008-06-09
File,MyDialLayerChangeListener.java,,,2,2008-06-09
File,MyPlotChangeListener.java,,,4,2008-06-09
File,NeedlePackageTests.java,,,3,2008-06-09
File,NonGridContourDataset.java,,,5,2008-06-09
File,NormalDistributionFunction2D.java,,,4,2008-06-09
File,NormalizedMatrixSeries.java,,,6,2008-06-09
File,NotOutlierException.java,,,1,2008-06-09
File,NumberAxis.java,,,38,2008-06-09
File,NumberAxis3D.java,,,3,2008-06-09
File,NumberAxis3DTests.java,,,3,2008-06-09
File,NumberAxisTests.java,,,14,2008-06-09
File,NumberTick.java,,,3,2008-06-09
File,NumberTickUnit.java,,,7,2008-06-09
File,NumberTickUnitTests.java,,,6,2008-06-09
File,OHLC.java,,,6,2008-06-09
File,OHLCDataItem.java,,,9,2008-06-09
File,OHLCDataItemTests.java,,,5,2008-06-09
File,OHLCDataset.java,,,10,2008-06-09
File,OHLCItem.java,,,7,2008-06-09
File,OHLCItemTests.java,,,6,2008-06-09
File,OHLCPackageTests.java,,,3,2008-06-09
File,OHLCSeries.java,,,4,2008-06-09
File,OHLCSeriesCollection.java,,,22,2008-06-09
File,OHLCSeriesCollectionTests.java,,,6,2008-06-09
File,OHLCSeriesTests.java,,,12,2008-06-09
File,OHLCTests.java,,,5,2008-06-09
