Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Protected Method,io.realm.Realm.(Anon_2).initialValue,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Protected Method,io.realm.Realm.checkIfValid,,,,,,,,,,,,,,,,,,,,,,,,,24,12,1,9,2,5,2,3,4,3,6,2,4,3,3,3,1,,,,,,1,,0.22,,,,
Protected Method,io.realm.Realm.finalize,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,2,1,2,3,1,2,1,1,1,1,,,,,,0,,0,,,,
Protected Method,io.realm.internal.Context.finalize,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,1,3,0,2,1,2,4,1,3,1,1,1,1,,,,,,0,,0,,,,
Protected Method,io.realm.internal.Group.finalize,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,1,4,1,2,2,2,5,1,4,2,2,2,1,,,,,,1,,0.13,,,,
Protected Method,io.realm.internal.ImplicitTransaction.finalize,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,,,,,,0,,1,,,,
Protected Method,io.realm.internal.Mixed.getDateTimeValue,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,3,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Protected Method,io.realm.internal.ReadTransaction.finalize,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,,,,,,0,,1,,,,
Protected Method,io.realm.internal.Row.finalize,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,1,6,1,3,2,4,7,1,6,2,2,2,1,,,,,,1,,0.1,,,,
Protected Method,io.realm.internal.SharedGroup.finalize,,,,,,,,,,,,,,,,,,,,,,,,,5,18,0,18,1,11,1,6,6,6,12,1,11,5,5,5,1,,,,,,3,,0.06,,,,
Protected Method,io.realm.internal.Table.finalize,,,,,,,,,,,,,,,,,,,,,,,,,6,12,1,11,2,7,1,3,4,4,8,2,6,3,3,3,1,,,,,,1,,0.09,,,,
Protected Method,io.realm.internal.TableQuery.finalize,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,1,4,1,2,2,2,5,1,4,2,2,2,1,,,,,,1,,0.13,,,,
Protected Method,io.realm.internal.TableSpec.addColumn,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Protected Method,io.realm.internal.TableView.finalize,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,1,4,1,2,2,2,5,1,4,2,2,2,1,,,,,,1,,0.13,,,,
Protected Method,io.realm.internal.WriteTransaction.finalize,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,,,,,,0,,1,,,,
Public Abstract Class,io.realm.RealmObject,3,3,3,1,15,0,9,6,1,4,9,,0,0,,,1,2,1,13,0,0,0,1,,32,2,13,4,5,17,,,5,9,4,5,,,,,3,3,3,1,1,1,0,1.31,3,3,3,1
