Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,Dog.java,1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,1,2,,0,0,0,2,,31,5,11,6,2,15,,,5,8,6,2,,,,,1,1,1,1,,0,,1.36,2,2,2,2,2015-02-03
File,Dog.java,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,,0,0,0,0,,47,10,0,0,0,37,,,0,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0,0,2015-02-03
File,Dot.java,1,1,1,1,3,0,3,0,,,,1,0,0,,8,8,4,8,,0,0,0,8,,59,12,32,15,8,15,,,14,23,15,8,,,,,1,1,1,1,,0,,0.47,8,8,8,8,2015-02-03
File,DotsView.java,1,1,1,1,5,0,5,0,,,,1,0,0,,7,7,5,7,,0,1,2,4,,86,14,53,24,20,19,,,33,43,23,20,,,,,2,2,2,1,,1,,0.36,8,8,8,7,2015-02-03
File,EmployeeData.java,5,2,5,1,16,0,16,0,,,,1,0,0,,2,2,8,2,,0,0,0,2,,53,7,46,15,27,0,,,29,33,15,18,,,,,9,2,9,1,,1,,0,10,3,10,2,2015-02-03
File,EmployeesFixture.java,2,2,2,1,9,2,7,0,,,,1,1,2,,1,0,0,1,,0,0,0,1,,27,8,19,13,10,0,,,9,12,8,4,,,,,2,2,2,1,,1,,0,2,2,2,1,2015-02-03
File,Empty.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,22,3,4,3,0,15,,,2,3,3,0,,,,,0,0,0,0,,0,,3.75,0,0,0,0,2015-02-03
File,EncryptionExampleActivity.java,2,2,2,1,21,2,16,2,,,,1,0,1,,5,5,1,5,,0,3,2,0,,158,27,102,40,64,30,,,62,75,37,38,,,,,4,4,4,1,,3,,0.29,11,11,11,5,2015-02-03
File,ExtraTests.java,2,2,2,1,7,0,7,0,,,,4,3,1,,12,9,3,12,,0,2,2,8,,127,21,106,35,54,0,,,50,78,37,41,,,,,7,7,8,1,,3,,0,24,24,26,12,2015-02-03
File,GridViewExampleActivity.java,1,1,1,1,13,2,8,2,,,,3,0,1,,8,8,3,8,,0,1,2,5,,165,31,101,53,50,34,,,69,80,50,30,,,,,2,2,2,1,,1,,0.34,10,10,10,8,2015-02-03
