Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,CyclicType.java,1,1,1,1,3,0,3,0,,,,1,0,0,,6,6,3,6,,0,0,0,6,,35,9,26,13,6,0,,,12,19,13,6,,,,,1,1,1,1,,0,,0,6,6,6,6,2015-03-17
File,CyclicTypePrimaryKey.java,1,1,1,1,2,0,2,0,,,,1,0,0,,10,10,4,10,,0,0,0,10,,53,13,40,20,9,0,,,17,28,19,9,,,,,1,1,1,1,,0,,0,10,10,10,10,2015-03-17
File,DataProviderUtil.java,1,1,1,1,4,0,4,0,,,,1,1,0,,1,0,0,1,,0,0,0,1,,15,5,10,7,2,0,,,6,8,7,1,,,,,1,1,1,1,,0,,0,1,1,1,1,2015-03-17
File,DebugAndroidLogger.java,1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,3,5,4,1,,,,,1,1,1,1,,0,,0.43,1,1,1,1,2015-03-17
File,DefineTable.java,1,1,1,1,1,0,1,0,,,,1,0,0,,4,4,0,4,,4,0,0,0,,41,8,13,12,0,20,,,9,10,10,0,,,,,1,1,1,1,,0,,1.54,4,4,4,4,2015-03-17
File,Dog.java,1,1,1,1,2,0,2,0,,,,1,0,0,,16,16,7,16,,0,0,0,16,,98,22,61,29,15,15,,,26,43,28,15,,,,,1,1,1,1,,0,,0.25,16,16,16,16,2015-03-17
File,Dog.java,1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,1,2,,0,0,0,2,,31,5,11,6,2,15,,,5,8,6,2,,,,,1,1,1,1,,0,,1.36,2,2,2,2,2015-03-17
File,Dog.java,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,,0,0,0,0,,47,10,0,0,0,37,,,0,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0,0,2015-03-17
File,Dog.java,1,1,1,1,3,0,3,0,,,,1,0,0,,3,3,1,3,,0,0,0,3,,38,6,17,8,5,15,,,6,10,7,3,,,,,1,1,1,1,,0,,0.88,3,3,3,3,2015-03-17
File,DogPrimaryKey.java,1,1,1,1,3,0,3,0,,,,1,0,0,,19,19,8,19,,0,0,0,19,,115,27,73,34,19,15,,,32,52,33,19,,,,,1,1,1,1,,0,,0.21,19,19,19,19,2015-03-17
File,Dot.java,1,1,1,1,3,0,3,0,,,,1,0,0,,8,8,4,8,,0,0,0,8,,59,12,32,15,8,15,,,14,23,15,8,,,,,1,1,1,1,,0,,0.47,8,8,8,8,2015-03-17
File,DotsView.java,1,1,1,1,5,0,5,0,,,,1,0,0,,7,7,5,7,,0,1,2,4,,86,14,53,24,20,19,,,33,43,23,20,,,,,2,2,2,1,,1,,0.36,8,8,8,7,2015-03-17
File,EmployeeData.java,5,2,5,1,16,0,16,0,,,,1,0,0,,2,2,8,2,,0,0,0,2,,53,7,46,15,27,0,,,29,33,15,18,,,,,9,2,9,1,,1,,0,10,3,10,2,2015-03-17
File,EmployeesFixture.java,2,2,2,1,9,2,7,0,,,,1,1,2,,1,0,0,1,,0,0,0,1,,27,8,19,13,10,0,,,9,12,8,4,,,,,2,2,2,1,,1,,0,2,2,2,1,2015-03-17
