Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
Public Method,org.jfree.chart.axis.DateAxis.DefaultTimeline.toTimelineValue,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,3,1,1,7,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.DefaultTimeline.toTimelineValue,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,3,1,1,7,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2004-04-01
Protected Method,org.jfree.chart.axis.DateAxis.autoAdjustRange,,,,,,,,,,,,,,,,,,,,,,,,,2,45,7,35,11,26,4,14,8,21,27,11,16,6,6,6,1,,,,,,3,,0.11,,,,,2004-04-01
Private Method,org.jfree.chart.axis.DateAxis.calculateDateForPosition,,,,,,,,,,,,,,,,,,,,,,,,,7,25,3,13,2,8,9,5,4,5,9,2,7,4,4,4,1,,,,,,1,,0.69,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.calculateHighestVisibleTickValue,,,,,,,,,,,,,,,,,,,,,,,,,1,12,2,3,1,1,7,3,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.calculateLowestVisibleTickValue,,,,,,,,,,,,,,,,,,,,,,,,,3,12,2,3,1,1,7,3,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.clone,,,,,,,,,,,,,,,,,,,,,,,,,2,20,4,7,2,4,9,4,2,3,5,2,3,2,2,2,1,,,,,,1,,1.29,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.configure,,,,,,,,,,,,,,,,,,,,,,,,,0,9,0,5,1,2,4,2,2,1,3,1,2,2,2,2,1,,,,,,1,,0.8,,,,,2004-04-01
Public Static Method,org.jfree.chart.axis.DateAxis.createStandardDateTickUnits,,,,,,,,,,,,,,,,,,,,,,,,,8,108,10,84,2,82,14,6,1,42,43,2,41,1,1,1,1,,,,,,0,,0.17,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.dateToJava2D,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,4,2,2,10,3,1,2,3,2,1,1,1,1,1,,,,,,0,,2.5,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.draw,,,,,,,,,,,,,,,,,,,,,,,,,5,40,5,16,9,8,19,8,2,7,9,4,5,2,2,2,1,,,,,,1,,1.19,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.equals,,,,,,,,,,,,,,,,,,,,,,,,,8,30,6,17,6,12,7,2,4,9,13,6,7,4,4,7,4,,,,,,1,,0.41,,,,,2004-04-01
Private Method,org.jfree.chart.axis.DateAxis.estimateMaximumTickLabelHeight,,,,,,,,,,,,,,,,,,,,,,,,,5,49,4,31,15,25,14,16,3,21,24,15,9,3,3,3,1,,,,,,2,,0.45,,,,,2004-04-01
Private Method,org.jfree.chart.axis.DateAxis.estimateMaximumTickLabelWidth,,,,,,,,,,,,,,,,,,,,,,,,,5,49,4,31,15,25,14,16,3,21,24,15,9,3,3,3,1,,,,,,2,,0.45,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.getDateFormatOverride,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,3,1,1,6,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.getMaximumDate,,,,,,,,,,,,,,,,,,,,,,,,,5,21,4,12,4,8,5,5,2,6,8,4,4,2,2,2,1,,,,,,1,,0.42,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.getMinimumDate,,,,,,,,,,,,,,,,,,,,,,,,,3,21,4,12,4,8,5,5,2,6,8,4,4,2,2,2,1,,,,,,1,,0.42,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.getTickMarkPosition,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.getTickUnit,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.getTimeline,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.isHiddenValue,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,3,1,1,8,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.java2DToValue,,,,,,,,,,,,,,,,,,,,,,,,,5,39,4,24,7,17,11,13,6,14,18,7,11,4,4,4,1,,,,,,1,,0.46,,,,,2004-04-01
Protected Method,org.jfree.chart.axis.DateAxis.nextStandardDate,,,,,,,,,,,,,,,,,,,,,,,,,3,17,2,7,3,5,8,8,1,5,6,3,3,1,1,1,1,,,,,,0,,1.14,,,,,2004-04-01
