Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,BlockContainer.java,2,2,2,1,13,0,7,6,,,,1,0,1,,14,14,2,14,,0,0,0,14,,281,22,122,46,61,137,,,63,91,43,48,,,,,7,7,7,6,,3,,1.12,27,27,27,19,2005-07-01
File,BlockContainerTests.java,1,1,1,1,15,1,10,3,,,,1,1,0,,5,4,0,5,,0,0,0,5,,148,16,70,30,40,62,,,48,56,29,27,,,,,2,2,2,1,,1,,0.89,7,7,7,5,2005-07-01
File,BlockPackageTests.java,1,1,1,1,11,0,6,5,,,,1,2,0,,3,1,0,3,,0,0,0,3,,94,8,24,9,12,62,,,16,20,9,11,,,,,1,1,1,1,,0,,2.58,3,3,3,3,2005-07-01
File,BlockParams.java,1,1,1,1,8,0,3,5,,,,1,0,0,,7,7,3,7,,0,0,0,7,,138,13,29,12,9,96,,,13,21,12,9,,,,,1,1,1,1,,0,,3.31,7,7,7,7,2005-07-01
File,BlockResult.java,1,1,1,1,7,0,3,4,,,,1,0,0,,3,3,1,3,,0,0,0,3,,80,8,14,7,3,58,,,6,10,7,3,,,,,1,1,1,1,,0,,4.14,3,3,3,3,2005-07-01
File,BorderArrangement.java,7,7,7,2,48,0,39,8,,,,1,0,1,,10,10,5,10,,0,0,5,5,,577,29,414,112,309,134,,,171,242,86,156,,,,,13,13,13,8,,2,,0.32,70,70,70,17,2005-07-01
File,BorderArrangementTests.java,1,1,1,1,105,10,72,22,,,,1,1,1,,7,6,0,7,,0,0,0,7,,819,90,531,53,492,198,,,502,511,49,462,,,,,2,2,2,1,,1,,0.37,8,8,8,7,2005-07-01
File,BoxAndWhiskerCalculator.java,6,6,7,1,47,4,35,8,,,,1,3,0,,3,0,0,3,,0,0,0,3,,204,19,112,32,77,73,,,47,65,31,34,,,,,9,9,12,1,,4,,0.65,17,17,20,3,2005-07-01
File,BoxAndWhiskerCalculatorTests.java,1,1,1,1,14,0,10,4,,,,1,1,1,,4,3,0,4,,0,0,0,4,,119,10,50,17,33,59,,,40,45,17,28,,,,,1,1,1,1,,0,,1.18,4,4,4,4,2005-07-01
File,BoxAndWhiskerCategoryDataset.java,1,1,1,1,9,0,1,8,,,,1,0,0,,18,18,0,18,,0,0,0,18,,241,23,23,22,0,195,,,21,22,22,0,,,,,1,1,1,1,,0,,8.48,18,18,18,18,2005-07-01
File,BoxAndWhiskerItem.java,2,2,2,2,14,0,7,6,,,,1,0,1,,11,11,9,11,,0,0,0,11,,255,29,104,36,47,122,,,46,69,28,41,,,,,12,12,12,12,,1,,1.17,22,22,22,22,2005-07-01
